Afiliações Consideradas,Nome Fantasia,Status,Natureza Jurídica,Segmento,Canal,Subcanal,Grupo 1,Grupo 2,Grupo 3,Grupo 4,Credenciado por,Força de Vendas,Carteira de Atendimento,Data de Credenciamento,Data de Ativação,Qtd. de POSs,Data da Última Transação,TPV Precificado,TPV M-3,TPV M-2,TPV M-1,TPV M-0,Receita Total M-1,Imposto Total M-1,Custo Total M-1,Lucro Bruto M-1,Receita Net MDR M-0,Receita RAV M-0,Receita Mensalidade M-0,Receita Cartão M-0,Receita Pix M-0,Receita Boleto M-0,Receita TED M-0,Receita Floating M-0,Receita Banking Outros M-0,Receita Seguro de Vida M-0,Receita Seguro de Loja M-0,Receita Seguro Vitalício M-0,Receita Total M-0,Imposto Net MDR M-0,Imposto RAV M-0,Imposto Mensalidade M-0,Imposto Cartão M-0,Imposto Pix M-0,Imposto Boleto M-0,Imposto TED M-0,Imposto Floating M-0,Imposto Banking Outros M-0,Imposto Seguro de Vida M-0,Imposto Seguro de Loja M-0,Imposto Seguro Vitalício M-0,Imposto Total M-0,Custo por Transação M-0,Custo por TPV M-0,Custo Antecipação M-0,Custo Cartão M-0,Custo Pix M-0,Custo Boleto M-0,Custo TED M-0,Custo Floating M-0,Custo Banking Outros M-0,Custo Seguro de Vida M-0,Custo Seguro de Loja M-0,Custo Seguro Vitalício M-0,Custo por Cliente M-0,Custo por POS M-0,Custo Total M-0,Lucro Bruto M-0
779941352/191226866,Acai Veia Loka,Credenciado,MEI,Supermercado/Farmácia,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Nova Santa Rita,diuliano.otero@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,19/12/24,19/12/24,1,27/04/25,30000.0,5931.0,1657.0,1231.0,0.0,98.29,,,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
197913578/132813882,Padaria Igara,Credenciado,PJ,Supermercado/Farmácia,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Park Shopping,isabel.lara@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,16/02/23,16/02/23,1,04/04/25,30000.0,8653.79,17294.87,3972.81,0.0,242.67,,,54.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.86,0.0,121.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,24.28
210689403/742662427,TABACARIA MIXER,Cancelado,PJ,Varejo,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Park Shopping,igor.ramos@stone.com.br,INBOUND,ATENDIMENTO AGENTE,04/10/21,04/10/21,0,07/04/25,40000.0,25075.6,31853.0,7256.0,0.0,269.86,,,153.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.12,0.0,0.0,0.0,0.0,43.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.11
607976131/170544721,SOUZA SILVA,Credenciado,MEI,Alimentação,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Igara,paulo.pinheiro@stone.com.br,INBOUND,ATENDIMENTO AGENTE,27/11/20,01/12/20,1,03/04/25,20000.0,7750.9,3565.47,1113.82,0.0,158.55,,,49.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
187531449/142938565/211352857,BabaluGas,Credenciado,PJ,Posto,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Marechal Rondon,diego.rteixeira@stone.com.br,INBOUND,ATENDIMENTO AGENTE,17/04/25,23/04/25,3,24/04/25,50000.0,0.0,0.0,782.0,0.0,6.93,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
170827133/126540085/109114173,Ramboo,Cancelado,PJ,Serviços,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Park Shopping,luana.moncores@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,02/05/24,11/07/24,0,11/04/25,26000.0,14541.02,15292.3,5990.71,0.0,227.68,,,85.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
975444101/195236498,Elite do Oleo,Cancelado,PF,Serviços,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Igara,yago.barbosa@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,12/02/25,14/02/25,0,03/04/25,50000.0,27724.56,53372.99,1112.69,0.0,337.61,,,238.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777582857/174352100,TOTALTECH IGUATEMI POA,Credenciado,PJ,Bens duráveis,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Centro,marcelo.bernardes@stone.com.br,ESPECIALISTA,ATENDIMENTO ESPECIALISTA,22/04/25,29/04/25,3,29/04/25,70000.0,0.0,0.0,470.0,0.0,10.87,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
471269707,MASTER CAR CENTRO AUTOMOTIVO,Credenciado,PF,Serviços,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Igara,diuliano.otero@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,04/12/24,04/12/24,0,07/04/25,30000.0,8516.0,30425.0,10967.5,0.0,905.98,,,467.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148904626,Batista Veiculos,Credenciado,PJ,Bens duráveis,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Nova Santa Rita,vinicius.andrade@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,17/07/20,20/07/20,1,28/04/25,33000.0,37436.52,0.0,8086.11,0.0,1234.66,,,681.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
